.DJI,다우존스 산업지수
000903,CSI 100
000904,CSI 200
000905,CSI 500
000906,CSI 800
000907,CSI 700
399102,심천 ChiNext 지수
399903,CSI 100
399904,CSI 200
399905,CSI 500
399906,CSI 800
399907,CSI 700
95079,DRAM Exchange Index
AR#MERVAL,아르헨티나 MERVAL
ATX,오스트리아 ATX
AUD#XAO,호주 AOI
BEL#BEL,벨기에 BEL-20
BR#BOVE,브라질 BOVESPA
CAN#COM,캐나다 S&P/TSX
CH#SHA,상해A지수
CH#SHB,상해B지수
CH#SZA,심천A지수
CH#SZB,심천B지수
CL#IGPA,칠레 IPSA
COMP,나스닥 종합
CZ#399106,심천종합지수
DEN#KFX,덴마크 코펜하겐 20
EG#CASE30,이집트 CASE 30
FR#CAC,프랑스 CAC 40
GR#ASE,그리스 ASE
GR#DAX,독일 DAX 30
HK#HS,항셍지수
HSCE,홍콩H지수
ID#JK,인도네시아 종합
IL#TA-100,이스라엘 TA-100 Index
IN#BOMBAY,인도 SENSEX
JP#NI225,일본니케이225지수
JP#TOPIX,일본TOPIX
KZ#KASE,카자흐스탄 KASE
MX#IPC,멕시코 IPC
MY#KLSE,말레이시아 KLCI
NL#AEX,네덜란드 AEX
NZ#NZSE,뉴질랜드 NZ50
PERU#IGBVL,페루 S&P Lima General
PH#MANILA,필리핀 PSEi Composite
POL#WIG,폴란드 WIG
RU#RTS,러시아 RTS
SHANG,중국상해종합지수
SPN#IBEX,스페인 IBEX-35
SPX,S&P500
SRK#ALL,스리랑카 CSE
SW#SM,스위스 SMI
SX5E,유로STOXX50
SXAXPI,스웨덴 OMX Stockholm
TH#BANG,태국 SET
TR#IMKB,터키 ISE100
TW#WT,대만가권
VEB,베네주엘라 카라카스
VN#VNI,베트남 호치민
